i0,idx,s0,novelty,sid,genre,human_ans
0,1,"Latest corporate unbundler reveals laid-back <b>approach</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",0.03,a1e-fragment01-1,NEWS,direction method plan view attitude
1,2,"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>leading</b> a 697m pound break-up bid for DRG, talks to Frank Kane",-0.03,a1e-fragment01-1,NEWS,winning fronting directing dominating
2,4,"IT SEEMS that Roland Franklin, the latest unbundler to appear in the UK, has made a <b>fatal</b> error in the preparation of his £697m break-up bid for stationery and packaging group DRG.",0.182,a1e-fragment01-3,NEWS,deadly vital catastrophic terminal
3,9,"The 63-year-old head of Pembridge Investments, through which the bid is being mounted says, ‘rule number one in this business is: the more luxurious the luncheon rooms at <b>headquarters</b>, the more inefficient the business’.",0.182,a1e-fragment01-5,NEWS,base head-office main-office depot HQ
4,12,"If he had taken his own rule seriously, he would have found out that DRG has a very modest self-service canteen at its Bristol <b>head</b> office.",-0.118,a1e-fragment01-6,NEWS,main management central
5,15,"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>part</b> of the DRG business he would keep after the break up.",-0.265,a1e-fragment01-7,NEWS,division department section portion
6,18,"When the bid was launched last week, Mr Franklin <b>faced</b> some criticism from City commentators on both those counts.",-0.182,a1e-fragment01-8,NEWS,received addressed
7,20,He <b>regards</b> the charges as unfounded.,-0.03,a1e-fragment01-9,NEWS,sees considers
8,21,He regards the <b>charges</b> as unfounded.,-0.029,a1e-fragment01-9,NEWS,accusations fees punishment
9,27,"If they can prove it is <b>there</b>, we might pay for it,’",-0.2,a1e-fragment01-13,NEWS,here available present
10,28,"‘That <b>point</b> about the core business is very unfair,’ he says.",-0.176,a1e-fragment01-15,NEWS,detail part aspect claim
11,33,"Along with Sir James he <b>found</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",0.03,a1e-fragment01-22,NEWS,viewed discovered concluded considered
12,35,"Along with Sir James he found the US much more attractive, taking over and <b>breaking</b> up some fairly hefty US corporations.",0.0,a1e-fragment01-22,NEWS,splitting dividing dissecting demolishing
13,37,He rejects <b>charges</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,0.0,a1e-fragment01-23,NEWS,allegations accusations liability claims consensus
14,40,He rejects charges that he was partly responsible for the ‘casino atmosphere’ that <b>gripped</b> US corporate life in the early 1980s.,0.545,a1e-fragment01-23,NEWS,captured captivated encompassed grasped enthralled
15,42,"‘We <b>stirred</b> it up, yes, but we never lost any money for anybody and we never added to the unemployment figures.’",0.059,a1e-fragment01-24,NEWS,messed swirled shook riled mixed
16,43,"‘We stirred it up, yes, but we never <b>lost</b> any money for anybody and we never added to the unemployment figures.’",-0.176,a1e-fragment01-24,NEWS,forfeited squandered
17,48,And there is always the ultimate unbundler's <b>defence</b> — that he will make money for his backers.,0.176,a1e-fragment01-28,NEWS,defiance excuse rebuttal argument mitigation
18,52,"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>mounting</b> the bid to enrich himself and his friends by saying: ‘Nobody could take that as a criticism — this is an investor group.",0.412,a1e-fragment01-29,NEWS,planning strengthening leading initiating launching tabling
19,53,"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is mounting the bid to enrich himself and his friends by saying: ‘Nobody could <b>take</b> that as a criticism — this is an investor group.",-0.235,a1e-fragment01-29,NEWS,interpret accept endure see
