i0,s0_idx,s0,s1,s1_label,s2,s2_label
0,1,"Latest corporate unbundler reveals laid-back <b>approach</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane","Latest corporate unbundler reveals laid-back <b>method</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",apt,"Latest corporate unbundler reveals laid-back <b>coming</b>: Roland Franklin, who is leading a 697m pound break-up bid for DRG, talks to Frank Kane",inapt
1,2,"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>leading</b> a 697m pound break-up bid for DRG, talks to Frank Kane","Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>winning</b> a 697m pound break-up bid for DRG, talks to Frank Kane",apt,"Latest corporate unbundler reveals laid-back approach: Roland Franklin, who is <b>heading</b> a 697m pound break-up bid for DRG, talks to Frank Kane",inapt
2,15,"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>part</b> of the DRG business he would keep after the break up.","There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>section</b> of the DRG business he would keep after the break up.",apt,"There are other things he has, on his own admission, not fully investigated, like the value of the DRG properties, or which <b>portion</b> of the DRG business he would keep after the break up.",inapt
3,21,He regards the <b>charges</b> as unfounded.,He regards the <b>accusations</b> as unfounded.,apt,He regards the <b>onsets</b> as unfounded.,inapt
4,21,He regards the <b>charges</b> as unfounded.,He regards the <b>accusations</b> as unfounded.,apt,He regards the <b>onrushes</b> as unfounded.,inapt
5,21,He regards the <b>charges</b> as unfounded.,He regards the <b>onsets</b> as unfounded.,inapt,He regards the <b>onrushes</b> as unfounded.,inapt
6,28,"‘That <b>point</b> about the core business is very unfair,’ he says.","‘That <b>detail</b> about the core business is very unfair,’ he says.",apt,"‘That <b>element</b> about the core business is very unfair,’ he says.",inapt
7,28,"‘That <b>point</b> about the core business is very unfair,’ he says.","‘That <b>detail</b> about the core business is very unfair,’ he says.",apt,"‘That <b>factor</b> about the core business is very unfair,’ he says.",inapt
8,28,"‘That <b>point</b> about the core business is very unfair,’ he says.","‘That <b>detail</b> about the core business is very unfair,’ he says.",apt,"‘That <b>ingredient</b> about the core business is very unfair,’ he says.",inapt
9,28,"‘That <b>point</b> about the core business is very unfair,’ he says.","‘That <b>element</b> about the core business is very unfair,’ he says.",inapt,"‘That <b>factor</b> about the core business is very unfair,’ he says.",inapt
10,28,"‘That <b>point</b> about the core business is very unfair,’ he says.","‘That <b>element</b> about the core business is very unfair,’ he says.",inapt,"‘That <b>ingredient</b> about the core business is very unfair,’ he says.",inapt
11,28,"‘That <b>point</b> about the core business is very unfair,’ he says.","‘That <b>factor</b> about the core business is very unfair,’ he says.",inapt,"‘That <b>ingredient</b> about the core business is very unfair,’ he says.",inapt
12,33,"Along with Sir James he <b>found</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.","Along with Sir James he <b>considered</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",apt,"Along with Sir James he <b>saw</b> the US much more attractive, taking over and breaking up some fairly hefty US corporations.",inapt
13,37,He rejects <b>charges</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,He rejects <b>accusations</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,apt,He rejects <b>onsets</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,inapt
14,37,He rejects <b>charges</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,He rejects <b>accusations</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,apt,He rejects <b>onrushes</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,inapt
15,37,He rejects <b>charges</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,He rejects <b>onsets</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,inapt,He rejects <b>onrushes</b> that he was partly responsible for the ‘casino atmosphere’ that gripped US corporate life in the early 1980s.,inapt
16,40,He rejects charges that he was partly responsible for the ‘casino atmosphere’ that <b>gripped</b> US corporate life in the early 1980s.,He rejects charges that he was partly responsible for the ‘casino atmosphere’ that <b>encompassed</b> US corporate life in the early 1980s.,apt,He rejects charges that he was partly responsible for the ‘casino atmosphere’ that <b>clutched</b> US corporate life in the early 1980s.,inapt
